Date,Time ,Site,Treatment,Name ,Initial Weight (g),Initial Weight + Tin (7.796125) (g),Dried Weight + Tin (g) ,Dried Soil Weight (g),Weight Change (g),Bulk Density = Dry Weight/Soil Volume,Correct bulk density ,% weight = water
5/9/2024,10:55:00 AM,PL,Burn,PL-B-T1,107.71,115.506125,98.54,90.743875,16.966125,0.88,0.94,16%
5/9/2024,10:55 AM,PL,Burn,PL-B-T2,126.93,134.726125,97.26,89.463875,37.466125,0.87,0.92,30%
5/9/2024,10:55:00 AM,PL,Burn,PL-B-T3,129.84,137.636125,98.54,90.743875,39.096125,0.88,0.94,30%
5/9/2024,10:55:00 AM,PL,Burn,PL-B-T4,87.35,95.146125,56.98,49.183875,38.166125,0.48,0.51,44%
5/9/2024,10:55:00 AM,PL,Burn,PL-B-T5,129.56,137.356125,83.01,75.213875,54.346125,0.73,0.78,42%
5/9/2024,10:55 AM,PL,Control,PL-C-T1,157.23,165.026125,120.55,112.753875,44.476125,1.10,1.16,28%
5/9/2024,10:55 AM,PL,Control,PL-C-T2,135.73,143.526125,88.29,80.493875,55.236125,0.78,0.83,41%
5/13/2024,7:10 PM,CSR,Burn,CSR-SC-B-T1,146.21,154.006125,132.58,124.783875,21.426125,1.21,1.29,15%
5/13/2024,7:10 PM,CSR,Burn,CSR-SC-B-T2,121.65,129.446125,111.94,104.143875,17.506125,1.01,1.07,14%
5/13/2024,7:10 PM,CSR,Burn,CSR-SC-B-T3,118.41,126.206125,116.29,108.493875,9.916125,1.05,1.12,8%
5/13/2024,7:10 PM,CSR,Burn,CSR-SC-B-T4,124.55,132.346125,116.64,108.843875,15.706125,1.06,1.12,13%
5/13/2024,7:10 PM,CSR,Burn,CSR-SC-B-T5,138.07,145.866125,128.87,121.073875,16.996125,1.18,1.25,12%
5/13/2024,7:10 PM,CSR,Control,CSR-SC-C-T1,130.27,138.066125,119.17,111.373875,18.896125,1.08,1.15,15%
5/13/2024,7:10:00 PM,CSR,Control,CSR-SC-C-T2,126.16,133.956125,122.03,114.233875,11.926125,1.11,1.18,9%
5/13/2024,7:10:00 PM,CSR,Control,CSR-SC-C-T3,139.7,147.496125,131.68,123.883875,15.816125,1.20,1.28,11%
5/13/2024,7:10 PM,CSR,Control,CSR-SC-C-T4,131.85,139.646125,120.55,112.753875,19.096125,1.10,1.16,14%
5/13/2024,7:10:00 PM,CSR,Control,CSR-SC-C-T5,143.44,151.236125,134.37,126.573875,16.866125,1.23,1.31,12%
5/13/2024,7:10 PM,TKR,Burn ,TKR-B-T1,138.31,146.106125,114.78,106.983875,31.326125,1.04,1.10,23%
5/13/2024,7:10 PM,TKR,Burn ,TKR-B-T2,129.66,137.456125,115.12,107.323875,22.336125,1.04,1.11,17%
5/13/2024,7:10 PM,TKR,Burn ,TKR-B-T3,115.18,122.976125,104.51,96.713875,18.466125,0.94,1.00,16%
5/13/2024,7:10 PM,TKR,Burn ,TKR-B-T4,122.55,130.346125,115.14,107.343875,15.206125,1.04,1.11,12%
5/13/2024,7:10 PM,TKR,Burn ,TKR-B-T5,109.59,117.386125,96.36,88.563875,21.026125,0.86,0.91,19%
5/9/2024,10:55 AM,TKR,Control,TKR-C-T1,133.41,141.206125,114.18,106.383875,27.026125,1.03,1.10,20%
5/13/2024,7:10 PM,TKR,Control,TKR-C-T2,120.4,128.196125,101.08,93.283875,27.116125,0.91,0.96,23%
5/13/2024,7:10 PM,TKR,Control,TKR-C-T3,130.18,137.976125,106.5,98.703875,31.476125,0.96,1.02,24%
5/13/2024,7:10 PM,TKR,Control,TKR-C-T4,142.26,150.056125,133.75,125.953875,16.306125,1.22,1.30,11%
5/13/2024,19:10,TKR,Control,TKR-C-T5,104.32,112.116125,89.92,82.123875,22.196125,0.80,0.85,21%
5/14/2024,7:36:00 PM,WR_22,Burn ,WR-B-T1 (Plot 22),200.59,208.386125,176.5,168.703875,31.886125,1.64,0.66,16%
5/14/2024,7:36:00 PM,WR_22,Burn ,WR-B-T2 (Plot 22),224.52,232.316125,188.28,180.483875,44.036125,1.75,0.71,20%
5/14/2024,7:36:00 PM,WR_22,Burn ,WR-B-T3 (Plot 22),233.93,241.726125,174.12,166.323875,67.606125,1.62,0.65,29%
5/14/2024,7:36:00 PM,WR_22,Burn ,WR-B-T4 (Plot 22),225.11,232.906125,172.65,164.853875,60.256125,1.60,0.65,27%
5/14/2024,7:36:00 PM,WR_22,Burn ,WR-B-T5 (Plot 22),256.08,263.876125,199.63,191.833875,64.246125,1.86,0.75,25%
5/14/2024,7:36:00 PM,WR_22,Control,WR-C-T1 (Plot 22),350.78,358.576125,322,314.203875,36.576125,3.05,1.23,10%
5/14/2024,7:36:00 PM,WR_22,Control,WR-C-T2 (Plot 22) ,347.81,355.606125,312.26,304.463875,43.346125,2.96,1.19,12%
5/14/2024,7:36:00 PM,WR_22,Control,WR-C-T3 (Plot 22),182.59,190.386125,138.61,130.813875,51.776125,1.27,0.51,28%
5/14/2024,7:36:00 PM,WR_22,Control,WR-C-T4 (Plot 22),205.91,213.706125,150.78,142.983875,62.926125,1.39,0.56,31%
5/14/2024,7:36:00 PM,WR_22,Control,WR-C-T5 (Plot 22) ,197.23,205.026125,144.37,136.573875,60.656125,1.33,0.54,31%
5/14/2024,7:36:00 PM,AM,Burn ,AM-B-T1 (Plot 2),329.33,337.126125,261.01,253.213875,76.116125,2.46,0.99,23%
5/14/2024,7:36:00 PM,AM,Burn ,AM-B-T2 (Plot 2),316.51,324.306125,277.98,270.183875,46.326125,2.63,1.06,15%
5/14/2024,7:36:00 PM,AM,Burn ,AM-B-T3 (Plot 2),332.7,340.496125,278.75,270.953875,61.746125,2.63,1.06,19%
5/14/2024,7:36:00 PM,AM,Burn ,AM-B-T4 (Plot 2),340.74,348.536125,290.7,282.903875,57.836125,2.75,1.11,17%
5/14/2024,7:36:00 PM,AM,Burn ,AM-B-T5 (Plot 2),285.54,293.336125,225.19,217.393875,68.146125,2.11,0.85,24%
5/14/2024,7:36:00 PM,AM,Control,AM-C-T1 (Plot 2),324.9,332.696125,295.59,287.793875,37.106125,2.80,1.13,11%
5/14/2024,7:36:00 PM,AM,Control,AM-C-T2 (Plot 2),270.39,278.186125,240.45,232.653875,37.736125,2.26,0.91,14%
5/14/2024,7:36:00 PM,AM,Control,AM-C-T3 (Plot 2),309.45,317.246125,280.73,272.933875,36.516125,2.65,1.07,12%
5/9/2024,10:55:00 AM,AM,Control,AM-C-T4 (Plot 2),216.4,224.196125,200.4,192.603875,23.796125,1.87,0.75,11%
5/9/2024,10:55:00 AM,AM,Control,AM-C-T5 (Plot 2),246.64,254.436125,246.9,239.103875,7.536125,2.32,0.94,3%
5/20/2024,2:35 PM,CF,Control,CF-C-T1 POST,455.75,463.546125,386.61,378.813875,76.936125,3.68,1.48,17%
5/20/2024,2:35 PM,CF,Control,CF-C-T2 POST,367.11,374.906125,324.13,316.333875,50.776125,3.07,1.24,14%
5/20/2024,2:35 PM,CF,Control,CF-C-T3 POST,301.24,309.036125,292.68,284.883875,16.356125,2.77,1.12,5%
5/20/2024,2:35 PM,CF,Control,CF-C-T4 POST,362.62,370.416125,296.19,288.393875,74.226125,2.80,1.13,20%
5/20/2024,2:35 PM,CF,Control,CF-C-T5 POST ,412.88,420.676125,340.78,332.983875,79.896125,3.24,1.30,19%
5/20/2024,2:35 PM,CF,Burn ,CF-B-T2 POST,398.01,405.806125,354.45,346.653875,51.356125,3.37,1.36,13%
5/14/2024,7:36:00 PM,CF,Burn ,CF-B-T1 POST,187.11,194.906125,160.13,152.333875,34.776125,1.48,0.60,19%
5/20/2024,2:35 PM,CF,Burn ,CF-B-T3 POST,350.61,358.406125,341.49,333.693875,16.916125,3.24,1.31,5%
5/20/2024,2:35 PM,CF,Burn ,CF-B-T4 POST,396.73,404.526125,342.06,334.263875,62.466125,3.25,1.31,16%
5/20/2024,2:35 PM,CF,Burn ,CF-B-T5 POST,404.9,412.696125,364.26,356.463875,48.436125,3.46,1.40,12%
5/28/2024,3:21 PM,MF,Burn ,MF-B-T1,120.86,128.656125,109.33,101.533875,19.326125,0.99,1.05,16%
5/28/2023,3:21 PM,MF,Burn ,MF-B-T2,126.45,134.246125,113.16,105.363875,21.086125,1.02,1.09,17%
5/28/2024,3:21 PM,MF,Burn ,MF-B-T3,118.56,126.356125,106.06,98.263875,20.296125,0.96,1.01,17%
5/28/2024,3:21 PM,MF,Burn ,MF-B-T4,142.8,150.596125,113.28,105.483875,37.316125,1.03,1.09,26%
5/28/2024,3:21 PM,MF,Burn ,MF-B-T5,130.47,138.266125,113.67,105.873875,24.596125,1.03,1.09,19%
5/28/2024,3:21 PM,MF,Control,MF-C-T1,161,168.796125,123.82,116.023875,44.976125,1.13,1.20,28%
5/28/2024,3:21 PM,MF,Control,MF-C-T2,140.42,148.216125,121.66,113.863875,26.556125,1.11,1.17,19%
5/28/2024,3:21 PM,MF,Control,MF-C-T3,140.8,148.596125,122.74,114.943875,25.856125,1.12,1.19,18%
5/28/2024,3:21 PM,MF,Control,MF-C-T4,127.37,135.166125,118.28,110.483875,16.886125,1.07,1.14,13%
5/28/2024,3:21 PM,MF,Control,MF-C-T5,117.74,125.536125,102.95,95.153875,22.586125,0.92,0.98,19%
5/28/2024,3:21 PM,WR_13,Control,WR-C-T1 (PLOT 13),83.36,91.156125,76.63,68.833875,14.526125,0.67,0.71,17%
5/28/2024,3:21 PM,WR_13,Control,WR-C-T2 (PLOT 13),85.87,93.666125,81.69,73.893875,11.976125,0.72,0.76,14%
5/28/2024,3:21 PM,WR_13,Control,WR-C-T3 (PLOT 13) ,81.39,89.186125,76.84,69.043875,12.346125,0.67,0.71,15%
5/28/2024,3:21 PM,WR_13,Control,WR-C-T4 (PLOT 13) ,100.87,108.666125,94.07,86.273875,14.596125,0.84,0.89,14%
5/28/2024,3:21 PM,WR_13,Control,WR-C-T5 (PLOT 13) ,128.9,136.696125,122.1,114.303875,14.596125,1.11,1.18,11%
5/28/2024,3:41 PM,WR_13,Burn,WR-B-T1 (PLOT 13),117.22,125.016125,111.08,103.283875,13.936125,1.00,1.07,12%
5/28/2024,3:41 PM,WR_13,Burn,WR-B-T2 (PLOT 13),114.37,122.166125,105.09,97.293875,17.076125,0.95,1.00,15%
5/28/2024,3:41 PM,WR_13,Burn,WR-B-T3 (PLOT 13),113,120.796125,102.74,94.943875,18.056125,0.92,0.98,16%
5/28/2024,3:41 PM,WR_13,Burn,WR-B-T4 (PLOT 13),77.84,85.636125,70.77,62.973875,14.866125,0.61,0.65,19%
5/28/2024,3:41 PM,WR_13,Burn,WR-B-T5 (PLOT 13),101.64,109.436125,94.33,86.533875,15.106125,0.84,0.89,15%
5/28/2024,3:41 PM,WR_5,Control,WR-C-T1 (PLOT 3/5),148.64,156.436125,114.41,106.613875,42.026125,1.04,1.10,28%
5/28/2024,3:41 PM,WR_5,Control,WR-C-T2 (PLOT 3/5),131.73,139.526125,116.7,108.903875,22.826125,1.06,1.12,17%
5/28/2024,3:41 PM,WR_5,Control,WR-C-T3 (PLOT 3/5),151.51,159.306125,123.69,115.893875,35.616125,1.13,1.20,24%
5/28/2024,3:41 PM,WR_5,Control,WR-C-T4 (PLOT 3/5),129.81,137.606125,103.46,95.663875,34.146125,0.93,0.99,26%
5/28/2024,3:41 PM,WR_5,Control,WR-C-T5 (PLOT 3/5),123.04,130.836125,86.36,78.563875,44.476125,0.76,0.81,36%
5/28/2024,3:41 PM,WR_5,Burn ,WR-B-T1 (PLOT 5),106.71,114.506125,95.4,87.603875,19.106125,0.85,0.90,18%
5/28/2024,3:41 PM,WR_5,Burn ,WR-B-T2 (PLOT 5),123.93,131.726125,105.4,97.603875,26.326125,0.95,1.01,21%
5/28/2024,3:41 PM,WR_5,Burn ,WR-B-T3 (PLOT 5),129.93,137.726125,107.65,99.853875,30.076125,0.97,1.03,23%
5/28/2024,3:41 PM,WR_5,Burn ,WR-B-T4 (PLOT 5),134.24,142.036125,101.48,93.683875,40.556125,0.91,0.97,30%
5/28/2024,3:41 PM,WR_5,Burn ,WR-B-T5 (PLOT 5),148.99,156.786125,122.2,114.403875,34.586125,1.11,1.18,23%