Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2024,CSR,CSR_B_T1,Black,5,17.5,27.5,27.5,0,67.5,57.5,52.5,57.5,32.5,Scorched
2024,CSR,CSR_B_T1,Dried_Unburned,27.5,27.5,27.5,32.5,52.5,17.5,5,27.5,12.5,32.5,
2024,CSR,CSR_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T1,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T1,Bare_Ground,72.5,62.5,52.5,52.5,52.5,22.5,42.5,27.5,32.5,42.5,
2024,CSR,CSR_B_T1,Gopher_Hole,0,0,0,0,0,0,0,0,5,0,
2024,CSR,CSR_B_T1,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T2,Black,77.5,27.5,52.5,27.5,10,27.5,67.5,62.5,31.5,42.5,lightly burned
2024,CSR,CSR_B_T2,Dried_Unburned,5,27.5,17.5,22.5,22.5,22.5,12.5,37.5,12.5,32.5,
2024,CSR,CSR_B_T2,Living_Green,0,5,0,0,5,0,0,0,3,0,
2024,CSR,CSR_B_T2,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T2,Bare_Ground,12.5,47.5,27.5,57.5,67.5,37.5,22.5,0,57.5,32.5,
2024,CSR,CSR_B_T2,Gopher_Hole,7,0,8,5,0,10,5,5,0,0,
2024,CSR,CSR_B_T2,Gopher_Mound,0,0,5,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T3,Black,92.5,82.5,77.5,67.5,87.5,62.5,92.5,82.5,92.5,82.5,lightly burned
2024,CSR,CSR_B_T3,Dried_Unburned,0,0,0,5,0,17.5,0,5,0,9,
2024,CSR,CSR_B_T3,Living_Green,0,0,5,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T3,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T3,Bare_Ground,12.5,12.5,12.5,12.5,12.5,22.5,5,0,12.5,5,
2024,CSR,CSR_B_T3,Gopher_Hole,0,10,12.5,-,5,5,9,12.5,0,3,
2024,CSR,CSR_B_T3,Gopher_Mound,0,0,0,22.5,0,0,0,8,0,3,
2024,CSR,CSR_B_T4,Black,12.5,62.5,37.5,47.5,47.5,62.5,32.5,92.5,27.5,97.5,scorched
2024,CSR,CSR_B_T4,Dried_Unburned,72.5,27.5,32.5,22.5,32.5,27.5,5,5,12.5,2,
2024,CSR,CSR_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T4,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T4,Bare_Ground,17.5,17.5,37.5,37.5,27.5,17.5,62.5,5,62.5,5,
2024,CSR,CSR_B_T4,Gopher_Hole,0,0,0,0,0,0,5,0,5,0,
2024,CSR,CSR_B_T4,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T5,Black,62.5,87.5,0,67.5,47.5,87.5,87.5,87.5,87.5,0,scorched/lightly burned
2024,CSR,CSR_B_T5,Dried_Unburned,12.5,12.5,7,0,47.5,0,0,0,4,22.5,
2024,CSR,CSR_B_T5,Living_Green,0,0,22.5,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T5,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T5,Bare_Ground,27.5,12.5,82.5,0,12.5,17.5,17.5,12.5,12.5,82.5,
2024,CSR,CSR_B_T5,Gopher_Hole,5,0,0,0,0,0,0,0,0,0,
2024,CSR,CSR_B_T5,Gopher_Mound,0,0,0,37.5,0,0,0,5,5,0,
2024,TKR,TKR_B_T1,Black,57.5,8,37.5,67.5,47.5,87.5,27.5,9,97.5,82.5,light
2024,TKR,TKR_B_T1,Dried_Unburned,0,12.5,2,4,2,0,12.5,12.5,0,11,
2024,TKR,TKR_B_T1,Living_Green,0,0,2,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T1,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T1,Bare_Ground,0,82.5,32.5,17.5,25,5,52.5,67.5,0,5,
2024,TKR,TKR_B_T1,Gopher_Hole,8,0,5,8,6,8,5,5,5,0,
2024,TKR,TKR_B_T1,Gopher_Mound,32.5,0,17.5,0,17.5,0,0,0,0,0,
2024,TKR,TKR_B_T2,Black,27.5,42.5,22.5,22.5,22.5,12.5,42.5,57.5,92.5,97.5,light
2024,TKR,TKR_B_T2,Dried_Unburned,32.5,12.5,27.5,8,47.5,12.5,17.5,12.5,0,0,
2024,TKR,TKR_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T2,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T2,Bare_Ground,37.5,32.5,37.5,17.5,17.5,12.5,27.5,22.5,6,0,
2024,TKR,TKR_B_T2,Gopher_Hole,0,6,5,0,5,0,5,8,0,0,
2024,TKR,TKR_B_T2,Gopher_Mound,0,0,0,42.5,0,47.5,0,0,0,0,
2024,TKR,TKR_B_T3,Black,97.5,87.5,82.5,92.5,52.5,62.5,47.5,12.5,32.5,82.5,moderate
2024,TKR,TKR_B_T3,Dried_Unburned,0,4,5,3,17.5,6,12.5,7,22.5,12.5,
2024,TKR,TKR_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T3,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T3,Bare_Ground,0,12.5,6,6,22.5,17.5,12.5,3,22.5,5,
2024,TKR,TKR_B_T3,Gopher_Hole,0,0,7,0,0,2,0,77.6,0,5,
2024,TKR,TKR_B_T3,Gopher_Mound,0,0,0,0,0,10,22.5,0,12.5,0,
2024,TKR,TKR_B_T4,Black,67.5,22.5,0,97.5,0,97.5,57.5,47.5,97.5,27.5,moderate
2024,TKR,TKR_B_T4,Dried_Unburned,2,17.5,0,3,17.5,6,5,8,0,0,
2024,TKR,TKR_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T4,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T4,Bare_Ground,22.5,37.5,97.5,0,82.5,0,17.5,37.5,3,27.5,
2024,TKR,TKR_B_T4,Gopher_Hole,0,0,0,4,0,2,9,0,5,0,
2024,TKR,TKR_B_T4,Gopher_Mound,0,12.5,5,0,0,0,6,0,0,37.5,
2024,TKR,TKR_B_T5,Black,87.5,77.5,57.5,92.5,67.5,82.5,8,82.5,82.5,37.5,moderate
2024,TKR,TKR_B_T5,Dried_Unburned,0,0,12.5,4,5,0,7.5,0,0,3,
2024,TKR,TKR_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T5,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,TKR,TKR_B_T5,Bare_Ground,12.5,12.5,22.5,0,22.5,12.5,87.5,10,12.5,57.5,
2024,TKR,TKR_B_T5,Gopher_Hole,0,5,2,0,0,2,0,4,0,0,
2024,TKR,TKR_B_T5,Gopher_Mound,0,0,0,6,0,0,0,6,0,0,
2024,WR5,WR5_B_T1,Black,37.5,27.5,22.5,57.5,12.5,57.5,37.5,57.5,37.5,37.5,lightly burned
2024,WR5,WR5_B_T1,Dried_Unburned,22.5,12.5,22.5,27.5,37.5,37.5,27.5,27.5,27.5,37.5,
2024,WR5,WR5_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T1,New_Green,5,1,2,0,6,2,1,0,5,0,
2024,WR5,WR5_B_T1,Bare_Ground,5,32.5,47.5,17.5,0,4,27.5,12.5,27.5,17.5,
2024,WR5,WR5_B_T1,Gopher_Hole,0,17.5,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T1,Gopher_Mound,22.5,0,5,5,47.5,0,0,0,0,0,
2024,WR5,WR5_B_T2,Black,27.5,57.5,47.5,22.5,62.5,82.5,72.5,62.5,47.5,47.5,lightly burned
2024,WR5,WR5_B_T2,Dried_Unburned,0,37.5,22.5,12.5,12.5,12.5,17.5,10,42.5,17.5,
2024,WR5,WR5_B_T2,Living_Green,12.5,3,0,6,0,0,0,1,0,6,
2024,WR5,WR5_B_T2,New_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T2,Bare_Ground,52.5,0,5,0,12.5,2,5,22.5,7,22.5,
2024,WR5,WR5_B_T2,Gopher_Hole,0,0,0,0,5,0,0,0,0,0,
2024,WR5,WR5_B_T2,Gopher_Mound,0,0,17.5,52.5,0,0,0,0,0,0,
2024,WR5,WR5_B_T3,Black,42.5,52.5,37.5,12.5,57.5,57.5,67.5,47.5,47.5,42.5,lightly burned
2024,WR5,WR5_B_T3,Dried_Unburned,17.5,37.5,37.5,22.5,27.5,17.5,17.5,37.5,17.5,27.5,
2024,WR5,WR5_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T3,New_Green,5,0,0,3,4,12.5,6,3,0,1,
2024,WR5,WR5_B_T3,Bare_Ground,27.5,5,17.5,47.5,10,7,5,7,27.5,5,
2024,WR5,WR5_B_T3,Gopher_Hole,0,0,0,3,0,0,0,0,0,0,
2024,WR5,WR5_B_T3,Gopher_Mound,0,0,0,0,0,0,0,0,0,17.5,
2024,WR5,WR5_B_T4,Black,72.5,72.5,82.5,42.5,47.5,37.5,47.5,52.5,52.5,57.5,lightly burned
2024,WR5,WR5_B_T4,Dried_Unburned,5,12.5,10,17.5,12.5,22.5,17.5,12.5,32.5,27.5,
2024,WR5,WR5_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T4,New_Green,0,7,5,0,1,5,2,0,0,2,
2024,WR5,WR5_B_T4,Bare_Ground,17.5,5,0,32.5,0,37.5,27.5,27.5,12.5,10,
2024,WR5,WR5_B_T4,Gopher_Hole,0,0,0,0,0,0,0,0,0,0,
2024,WR5,WR5_B_T4,Gopher_Mound,0,0,0,0,37.5,0,0,0,0,0,
2024,MF,MF_B_T1,Black,5,0,5,0,3,5,10,5,0,5,
2024,MF,MF_B_T1,Dried_Unburned,27.5,77.5,62.5,77.5,52.5,57.5,42.5,47.5,92.5,62.5,light
2024,MF,MF_B_T1,Living_Green,0,0,0,10,0,0,0,0,0,0,
2024,MF,MF_B_T1,New_Green,0,0,1,0,0,10,0,3,1,0,
2024,MF,MF_B_T1,Bare_Ground,72.5,27.5,37.5,7,42.5,22.5,62.5,37.5,7,32.5,
2024,MF,MF_B_T1,Gopher_Hole,0,0,0,0,5,0,0,5,0,5,
2024,MF,MF_B_T1,Gopher_Mound,0,0,0,7,5,10,-,12.5,0,0,
2024,MF,MF_B_T2,Black,10,0,12.5,37.5,22.5,0,10,22.5,17.5,10,light
2024,MF,MF_B_T2,Dried_Unburned,22.5,82.5,52.5,62.5,52.5,77.5,82.5,52.5,62.5,82.5,
2024,MF,MF_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T2,New_Green,3,2,0,0,0,5,2,0,3,0,
2024,MF,MF_B_T2,Bare_Ground,32.5,17.5,32.5,5,32.5,10,12.5,12.5,27.5,12.5,
2024,MF,MF_B_T2,Gopher_Hole,6,5,5,0,0,0,0,0,0,0,
2024,MF,MF_B_T2,Gopher_Mound,37.5,10,10,0,0,10,0,22.5,0,0,
2024,MF,MF_B_T3,Black,0,6,10,0,5,10,0,5,0,0,light
2024,MF,MF_B_T3,Dried_Unburned,37.5,52.5,42.5,82.5,27.5,82.5,77.5,87.5,77.5,0,
2024,MF,MF_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,62.5,
2024,MF,MF_B_T3,New_Green,27.5,0,5,10,32.5,10,10,10,12.5,0,
2024,MF,MF_B_T3,Bare_Ground,42.5,22.5,37.5,10,42.5,0,17.5,0,17.5,42.5,
2024,MF,MF_B_T3,Gopher_Hole,0,12.5,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T3,Gopher_Mound,0,12.5,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T4,Black,7,5,0,12.5,5,1,10,6,5,12.5,scorched/lightly
2024,MF,MF_B_T4,Dried_Unburned,37.5,52.5,32.5,82.5,67.5,47.5,17.5,22.5,57.5,47.5,
2024,MF,MF_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T4,New_Green,0,0,1,2,0,3,0,0,5,0,
2024,MF,MF_B_T4,Bare_Ground,62.5,47.5,32.5,10,32.5,57.5,47.5,82.5,37.5,32.5,
2024,MF,MF_B_T4,Gopher_Hole,0,2,5,0,0,0,0,0,0,5,
2024,MF,MF_B_T4,Gopher_Mound,0,0,37.5,0,0,0,32.5,0,0,10,
2024,MF,MF_B_T5,Black,5,10,0,10,10,10,5,7,3,12.5,?
2024,MF,MF_B_T5,Dried_Unburned,37.5,47.5,17.5,37.5,62.5,47.5,67.5,57.5,47.5,42.5,
2024,MF,MF_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T5,New_Green,17.5,12.5,27.5,5,5,0,3,1,12.5,1,
2024,MF,MF_B_T5,Bare_Ground,47.5,37.5,32.5,52.5,27.5,37.5,37.5,42.5,52.5,42.5,
2024,MF,MF_B_T5,Gopher_Hole,0,0,5,0,0,0,0,0,0,0,
2024,MF,MF_B_T5,Gopher_Mound,0,0,27.5,0,0,10,0,0,0,10,
2024,WR13,WR13_B_T1,Black,87.5,87.5,37.5,77.5,87.5,72.5,82.5,92.5,77.5,87.5,moderate
2024,WR13,WR13_B_T1,Dried_Unburned,5,5,10,17.5,0,3,12.5,2,5,10,
2024,WR13,WR13_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T1,New_Green,0,0,1,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T1,Bare_Ground,10,10,47.5,0,12.5,17.5,0,7,17.5,2,
2024,WR13,WR13_B_T1,Gopher_Hole,0,0,0,0,0,3,0,0,0,0,
2024,WR13,WR13_B_T1,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T2,Black,82.5,72.5,62.5,67.5,85,77.5,87.5,67.5,42.5,37.5,moderate
2024,WR13,WR13_B_T2,Dried_Unburned,12.5,12.5,27.5,17.5,6,3,4,4,10,12.5,
2024,WR13,WR13_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T2,New_Green,0,5,6,3,4,2,0,0,0,0,
2024,WR13,WR13_B_T2,Bare_Ground,5,5,0,12.5,0,12.5,7.5,27.5,15,47.5,
2024,WR13,WR13_B_T2,Gopher_Hole,0,0,0,0,0,0,0,0,7,0,
2024,WR13,WR13_B_T2,Gopher_Mound,0,0,0,0,0,0,0,0,22.5,0,
2024,WR13,WR13_B_T3,Black,52.5,77.5,77.5,52.5,87.5,62.5,52.5,22.5,37.5,62.5,light-moderate
2024,WR13,WR13_B_T3,Dried_Unburned,37.5,7,17.5,32.5,10,10,37.5,37.5,12.5,12.5,
2024,WR13,WR13_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T3,New_Green,0,2,1,5,0,0,2,4,0,2,
2024,WR13,WR13_B_T3,Bare_Ground,5,12.5,0,0,0,22.5,5,32.5,42.5,0,
2024,WR13,WR13_B_T3,Gopher_Hole,0,0,0,3,0,0,0,0,0,0,
2024,WR13,WR13_B_T3,Gopher_Mound,0,0,0,5,0,0,0,0,0,17.5,
2024,WR13,WR13_B_T4,Black,62.5,77.5,67.5,82.5,62.5,52.5,77.5,57.5,82.5,67.5,light-moderate
2024,WR13,WR13_B_T4,Dried_Unburned,12.5,12.5,27.5,12.5,32.5,27.5,17.5,10,12.5,17.5,
2024,WR13,WR13_B_T4,Living_Green,17.5,0,0,0,0,0,0,3,0,0,
2024,WR13,WR13_B_T4,New_Green,0,0,2,0,0,10,1,0,1,0,
2024,WR13,WR13_B_T4,Bare_Ground,0,5,0,2,0,6,6,27.5,0,12.5,
2024,WR13,WR13_B_T4,Gopher_Hole,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T4,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T5,Black,62.5,42.5,27.5,52.5,32.5,67.5,67.5,27.5,67.5,67.5,light-moderate
2024,WR13,WR13_B_T5,Dried_Unburned,12.5,0,12.5,0,4,17.5,17.5,10,12.5,12.5,
2024,WR13,WR13_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T5,New_Green,0,0,1,0,2,2,0,2,1,1,
2024,WR13,WR13_B_T5,Bare_Ground,17.5,52.5,32.5,42.5,52.5,10,10,42.5,12.5,17.5,
2024,WR13,WR13_B_T5,Gopher_Hole,0,0,5,0,3,0,0,0,0,0,
2024,WR13,WR13_B_T5,Gopher_Mound,0,0,12.5,0,3,0,0,12.5,0,0,
2024,PL,PL_B_T1,Black,71.5,77.5,42.5,67.5,22.5,5,10,7,22.5,22.5,moderate
2024,PL,PL_B_T1,Dried_Unburned,5,22.5,12.5,10,22.5,0,7,0,10,12.5,
2024,PL,PL_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T1,New_Green,5,0,0,5,17.5,10,0,0,2,0,
2024,PL,PL_B_T1,Bare_Ground,27.5,5,52.5,22.5,47.5,87.5,87.5,92.5,67.5,72.5,
2024,PL,PL_B_T1,Gopher_Hole,5,0,0,0,0,0,0,0,7,0,
2024,PL,PL_B_T1,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,Black,10,22.5,22.5,32.5,12.5,37.5,17.5,32.5,17.5,12.5,moderate
2024,PL,PL_B_T2,Dried_Unburned,0,0,12.5,10,5,22.5,7,8,5,5,
2024,PL,PL_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,New_Green,0,1,0,1,5,5,1,2,0,0,
2024,PL,PL_B_T2,Bare_Ground,92.5,82.5,77.5,67.5,82.5,42.5,82.5,67.5,92.5,77.5,
2024,PL,PL_B_T2,Gopher_Hole,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T2,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T3,Black,52.5,17.5,27.5,62.5,67.5,42.5,87.5,17.5,37.5,47.5,moderate
2024,PL,PL_B_T3,Dried_Unburned,12.5,5,10,10,12.5,12.5,5,87.5,17.5,27.5,
2024,PL,PL_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T3,New_Green,0,0,0,0,0,10,0,0,5,3,
2024,PL,PL_B_T3,Bare_Ground,32.5,82.5,42.5,32.5,27.5,42.5,0,0,57.5,37.5,
2024,PL,PL_B_T3,Gopher_Hole,0,0,0,0,0,0,5,0,0,0,
2024,PL,PL_B_T3,Gopher_Mound,12.5,0,27.5,0,0,0,12.5,0,0,0,
2024,PL,PL_B_T4,Black,82.5,22.5,37.5,62.5,72.5,37.5,87.5,92.5,77.5,42.5,?
2024,PL,PL_B_T4,Dried_Unburned,27.5,72.5,62.5,27.5,17.5,52.5,19,12.5,17.5,47.5,
2024,PL,PL_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T4,New_Green,5,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T4,Bare_Ground,0,10,10,12.5,27.5,17.5,0,5,10,17.5,
2024,PL,PL_B_T4,Gopher_Hole,0,0,0,0,0,0,10,0,0,0,
2024,PL,PL_B_T4,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T5,Black,27.5,42.5,42.5,22.5,22.5,27.5,82.5,22.5,37.5,52.5,?
2024,PL,PL_B_T5,Dried_Unburned,62.5,67.5,47.5,42.5,17.5,7,12.5,6,57.5,52.5,
2024,PL,PL_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T5,New_Green,0,10,0,2,3,0,0,0,0,0,
2024,PL,PL_B_T5,Bare_Ground,22.5,12.5,12.5,52.5,67.5,52.5,12.5,77.5,6,5,
2024,PL,PL_B_T5,Gopher_Hole,0,0,0,0,0,0,0,0,2,5,
2024,PL,PL_B_T5,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2023,WR22,WR22_B_T1,Black,57.5,47.5,22.5,37.5,52.5,27.5,22.5,47.5,77.5,37.5,
2023,WR22,WR22_B_T1,Dried_Unburned,0,0,57.5,42.5,47.5,47.5,52.5,27.5,0,37.5,
2023,WR22,WR22_B_T1,New_Green,12.5,22.5,12.5,12.5,2.5,12.5,17.5,7.5,2.5,2.5,
2023,WR22,WR22_B_T1,Bare_Ground,22.5,22.5,0,0,0,0,0,7.5,17.5,12.5,
2023,WR22,WR22_B_T2,Black,37.5,42.5,82.5,47.5,32.5,67.5,52.5,82.5,47.5,77.5,
2023,WR22,WR22_B_T2,Dried_Unburned,52.5,42.5,2.5,32.5,47.5,22.5,37.5,17.5,32.5,2.5,
2023,WR22,WR22_B_T2,New_Green,2.5,2.5,2.5,7.5,22.5,2.5,2.5,2.5,7.5,,
2023,WR22,WR22_B_T2,Bare_Ground,0,2.5,7.5,2.5,7.5,0,0,0,2.5,17.5,
2023,WR22,WR22_B_T3,Black,52.5,57.5,67.5,67.5,82.5,87.5,87.5,42.5,77.5,57.5,
2023,WR22,WR22_B_T3,Dried_Unburned,32.5,22.5,27.5,22.5,7.5,7.5,,42.5,2.5,2.5,
2023,WR22,WR22_B_T3,New_Green,2.5,2.5,2.5,2.5,2.5,0,2.5,2.5,2.5,7.5,
2023,WR22,WR22_B_T3,Bare_Ground,2.5,2.5,0,0,0,2.5,7.5,2.5,17.5,2.5,
2023,WR22,WR22_B_T4,Black,57.5,72.5,72.5,77.5,67.5,72.5,52.5,62.5,57.5,37.5,
2023,WR22,WR22_B_T4,Dried_Unburned,27.5,17.5,7.5,7.5,22.5,17.5,22.5,27.5,37.5,47.5,
2023,WR22,WR22_B_T4,Living_Green,0,0,0,0,0,2.5,0,0,0,0,
2023,WR22,WR22_B_T4,New_Green,7.5,2.5,7.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,
2023,WR22,WR22_B_T4,Bare_Ground,0,0,0,2.5,0,0,12.5,0,0,0,
2023,WR22,WR22_B_T5,Black,87.5,67.5,62.5,32.5,47.5,57.5,47.5,77.5,62.5,47.5,
2023,WR22,WR22_B_T5,Dried_Unburned,12.5,22.5,27.5,52.5,32.5,22.5,37.5,22.5,27.5,42.5,
2023,WR22,WR22_B_T5,New_Green,2.5,2.5,2.5,2.5,7.5,12.5,7.5,7.5,2.5,2.5,
2023,WR22,WR22_B_T5,Bare_Ground,0,7.5,0,2.5,2.5,0,0,0,0,0,
2023,CF,CF_B_T1,Black,92.5,57.5,57.5,22.5,72.5,57.5,67.5,27.5,57.5,32.5,
2023,CF,CF_B_T1,Dried_Unburned,7.5,17.5,7.5,37.5,12.5,12.5,17.5,7.5,22.5,27.5,
2023,CF,CF_B_T1,New_Green,2.5,2.5,2.5,2.5,2.5,0,0,0,2.5,2.5,
2023,CF,CF_B_T1,Bare_Ground,2.5,12.5,37.5,27.5,22.5,32.5,12.5,62.5,22.5,27.5,
2023,CF,CF_B_T2,Black,52.5,82.5,32.5,22.5,37.5,22.5,62.5,32.5,32.5,22.5,
2023,CF,CF_B_T2,Dried_Unburned,27.5,0,17.5,27.5,22.5,12.5,37.5,32.5,2.5,32.5,
2023,CF,CF_B_T2,New_Green,2.5,2.5,2.5,2.5,2.5,0,0,2.5,2.5,0,
2023,CF,CF_B_T2,Bare_Ground,27.5,27.5,37.5,37.5,32.5,57.5,37.5,32.5,67.5,37.5,
2023,CF,CF_B_T3,Black,37.5,37.5,32.5,7.5,12.5,17.5,22.5,22.5,7.5,17.5,
2023,CF,CF_B_T3,Dried_Unburned,7.5,27.5,12.5,27.5,27.5,27.5,22.5,32.5,22.5,17.5,
2023,CF,CF_B_T3,New_Green,0,0,0,0,2.5,2.5,0,0,2.5,0,
2023,CF,CF_B_T3,Bare_Ground,47.5,37.5,52.5,62.5,47.5,42.5,47.5,37.5,62.5,72.5,
2023,CF,CF_B_T4,Black,42.5,37.5,42.5,27.5,27.5,32.5,32.5,42.5,37.5,27.5,
2023,CF,CF_B_T4,Dried_Unburned,17.5,22.5,7.5,17.5,7.5,7.5,2.5,12.5,12.5,17.5,
2023,CF,CF_B_T4,New_Green,0,2.5,0,0,0,0,0,0,0,0,
2023,CF,CF_B_T4,Bare_Ground,32.5,37.5,42.5,47.5,72.5,72.5,37.5,37.5,47.5,47.5,
2023,CF,CF_B_T5,Black,32.5,22.5,37.5,27.5,17.5,47.5,32.5,37.5,42.5,47.5,
2023,CF,CF_B_T5,Dried_Unburned,17.5,7.5,7.5,22.5,22.5,7.5,22.5,2.5,2.5,7.5,
2023,CF,CF_B_T5,New_Green,0,0,0,0,0,0,0,2.5,0,0,
2023,CF,CF_B_T5,Bare_Ground,62.5,62.5,47.5,42.5,52.5,52.5,57.5,62.5,47.5,37.5,
2023,AM,AM_B_T1,Black,87.5,87.5,87.5,77.5,87.5,82.5,92.5,82.5,97.5,77.5,
2023,AM,AM_B_T1,Dried_Unburned,0,0,2.5,2.5,2.5,12.5,0,2.5,2.5,0,
2023,AM,AM_B_T1,Bare_Ground,17.5,12.5,2.5,22.5,2.5,2.5,7.5,12.5,0,32.5,
2023,AM,AM_B_T2,Black,87.5,57.5,77.5,87.5,87.5,92.5,82.5,77.5,87.5,42.5,
2023,AM,AM_B_T2,Dried_Unburned,2.5,2.5,0,7.5,12.5,0,2.5,2.5,2.5,17.5,
2023,AM,AM_B_T2,Bare_Ground,12.5,37.5,27.5,2.5,2.5,7.5,17.5,32.5,2.5,42.5,
2023,AM,AM_B_T3,Black,22.5,97.5,87.5,47.5,92.5,77.5,87.5,52.5,92.5,57.5,
2023,AM,AM_B_T3,Dried_Unburned,2.5,2.5,2.5,2.5,0,7.5,2.5,2.5,0,0,
2023,AM,AM_B_T3,Bare_Ground,82.5,0,7.5,47.5,2.5,22.5,12.5,37.5,12.5,42.5,
2023,AM,AM_B_T4,Black,82.5,82.5,82.5,62.5,97.5,82.5,37.5,72.5,32.5,42.5,
2023,AM,AM_B_T4,Dried_Unburned,0,0,7.5,17.5,2.5,0,17.5,27.5,37.5,12.5,
2023,AM,AM_B_T4,Bare_Ground,27.5,22.5,7.5,32.5,0,17.5,42.5,7.5,32.5,47.5,
2023,AM,AM_B_T5,Black,77.5,77.5,97.5,37.5,52.5,47.5,52.5,87.5,57.5,37.5,
2023,AM,AM_B_T5,Dried_Unburned,17.5,22.5,2.5,7.5,7.5,37.5,47.5,17.5,17.5,12.5,
2023,AM,AM_B_T5,Bare_Ground,7.5,12.5,2.5,57.5,42.5,27.5,0,0,17.5,57.5,
